id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6200713,Delightful double-W.Range/Chorlton,11064258,Gabrielle (Brie),Whalley Range,53.45135104482505,-2.2579795690308515,Private room,29,1,32,2016-04-10,3.15,5,315
39524,Tranquil room in the Hidden Museum!,169690,Rachael,Whalley Range,53.454836358597326,-2.2628974319687485,Private room,35,1,135,2016-03-22,1.99,1,323
8688911,APARTMENTS IN CENTRAL MANCHESTER,44247884,Jas,Whalley Range,53.456497460106846,-2.2605298854034928,Entire home/apt,39,1,32,2016-04-04,5.03,6,318
429792,Small Cosy Flat in Manchester,2103554,Lone Raver,Whalley Range,53.44926837898872,-2.254449935467664,Private room,20,1,39,2016-04-05,0.84,1,345
11564158,"Cosy bedroom in warm, friendly home",61084333,Melanie,Whalley Range,53.45056067476247,-2.2661506345436537,Private room,30,1,6,2016-04-07,6,1,319
9730292,Bright and comfy double room,32978961,Robbie And Scott,Whalley Range,53.457742149753024,-2.2593679719459754,Private room,25,1,22,2016-02-26,5.16,1,34
11427475,An urban retreat in Manchester,2794391,Helen,Whalley Range,53.45074070453688,-2.2545127314930897,Private room,49,1,3,2016-04-02,2.73,3,174
10357907,Large modern cosy flat,444217,Hayley,Whalley Range,53.452614709707746,-2.2672126893546034,Private room,27,1,8,2016-03-30,4.14,1,33
9586984,Cozy room in Whalley Range,264783,Kath,Whalley Range,53.45060119750817,-2.270890069219215,Private room,20,2,3,2016-02-28,0.67,1,0
12336428,Cosy newly refurbished apartment,1243233,John,Whalley Range,53.4541994157684,-2.261320961787394,Entire home/apt,65,1,0,,,4,357
9713858,Lovely Apartment Near Manchester,20891712,Mohammed,Whalley Range,53.44924279347427,-2.2569848768662117,Entire home/apt,110,2,1,2015-12-07,0.24,2,360
11543145,ROOM CENTRAL MANCHESTER £15,44247884,Jas,Whalley Range,53.45049773250927,-2.2631897805100047,Private room,15,1,14,2016-04-04,11.05,6,304
1848567,South Central 2 bedroom apartment,6851542,Quick,Whalley Range,53.449076111956444,-2.251257873352727,Entire home/apt,125,3,3,2015-11-15,0.10,6,365
1050998,Large room in family home near city,5785642,Mary,Whalley Range,53.45467001384516,-2.2590500717994,Private room,29,1,9,2015-09-28,0.27,1,284
8913958,WELCOME TO MANCHESTER Room 1,44247884,Jas,Whalley Range,53.45719382386228,-2.2604504952756046,Private room,19,1,0,,,6,320
11372368,A Big and Spacious Victorian Semi.,57084600,Simon,Whalley Range,53.44860893312426,-2.2582695275423332,Private room,28,1,6,2016-04-02,4.09,1,344
8915107,welcome to manchester room 2,44247884,Jas,Whalley Range,53.45564520475943,-2.260458749896674,Private room,19,1,2,2015-11-20,0.36,6,362
9934043,QuickSpaces South Central,6851542,Quick,Whalley Range,53.44932065477498,-2.2522354367772235,Entire home/apt,299,2,0,,,6,25
